ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,defense response to bacterium,101/2403,317/18994,0.318611987,2.51840037,10.37527843,1.71E-19,9.23E-17,7.85E-17,Il17a/Il17f/Adamts4/Slamf9/Slamf8/Il10/Hck/Bpifa2/B2m/Wfdc10/Wfdc3/Znfx1/Prg2/Tlr2/Cd160/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Fcgr1/Pglyrp3/S100a14/Isg15/Tnfrsf14/P2rx7/Gbp8/Gbp9/Gbp4/Gbp10/Gbp6/Oas1h/Oas1g/Oas1a/Plac8/Oas2/Oas3/Oas1e/Oas1b/Gbp11/Cxcl13/Serpine1/Reg3b/Nod1/Aqp1/Klrk1/Tac1/Cd4/Rarres2/Pycard/Muc5b/Lgals4/Spn/Lyz3/Cd209d/Irf8/Il27ra/Mmrn2/Ear1/Gzmb/Rnase12/Rnase6/Rnase2b/Ear6/Rnf31/Rnase2a/Tlr9/Camp/Casp1/Casp4/Nos2/Lgals9/Igtp/Irgm2/Lypd8/Epx/Nlrp1a/Grn/Irgm1/Rnf213/Wfdc17/Wfdc21/Serpinb9/Ighg2c/Gsdmc4/Gsdmd/Adgrb1/Adamts5/Trem1/Emilin2/Nlrc4/H2-M3/Fpr2/Pglyrp2/H2-K1/Tnf/H2-T23/Tslp/Iigp1/Casp7/Mpeg1,101
GO:0002449,lymphocyte mediated immunity,115/2403,391/18994,0.294117647,2.324790091,10.07352212,5.97E-19,2.95E-16,2.51E-16,Exo1/Tnfsf4/Cd28/Pdcd1/Fcgr4/Slamf1/Fcer1a/Slamf6/Il1r1/Ptprc/B2m/Cd40/Gata3/Serping1/Rasgrp1/Sh2d1a/Cd40lg/Il21/Cd1d1/Cd160/Cd2/Il12a/Fcgr1/C1qb/C1qc/C1qa/Mpl/Rnf19b/P2rx7/Fgl2/Fosl2/Il6/Clnk/C1ra/C1s1/C1rb/Gimap3/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Klrb1a/Klrb1c/Klrb1b/C1s2/Ptpn6/Lag3/Cd19/Ctsc/Mill2/Pou2f2/Spn/Il21r/Nkg7/Irf7/Calhm6/H60c/Ulbp1/Raet1e/H60b/Prf1/Il27ra/Gzmc/Gzmb/Pnp/Il20rb/Ccr2/Parp3/Crtam/Lgals9/Slfn2/Tbx21/Serpinb9/Il31ra/Batf/Ighg2c/Ighd/Ighv9-1/Ighv9-3/Ighv6-4/Ighv1-53/Ighv1-55/Ighv1-78/Rsad2/Il2rb/Igll1/Iglc3/Muc4/H2-DMa/Tap1/Tap2/H2-M3/Rnf8/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/Ccr6/Tnf/H2-T24/H2-T23/H2-T22/H2-Q7/C4b/C2/Cd74/Cd274/Tcirg1/Unc93b1,115
GO:0002697,regulation of immune effector process,126/2403,450/18994,0.28,2.213200166,9.912299064,1.08E-18,4.90E-16,4.17E-16,Il17a/Il17f/Dusp10/Tnfsf4/Cd28/Pdcd1/Slamf1/Slamf8/Fcer1a/Slamf6/Il1r1/Il10/Ptprc/Fcnb/B2m/Cd40/Gata3/Serping1/Prg2/Rasgrp1/Sh2d1a/Tlr7/Cd40lg/Gata1/Tlr2/Il21/Cd1d1/Cd160/Il12a/Fcgr1/Pglyrp3/S100a9/Ptafr/Rigi/Ccl19/Tnfrsf14/P2rx7/Stap1/Fgl2/Pf4/Cxcl1/Il6/Clnk/Gimap3/Nod1/Klrb1f/Clec2d/Cd69/Klrk1/Klrc3/Klri1/Klri2/Irf5/A2m/Klrb1a/Klrb1c/Klrb1b/Cd27/Ptpn6/Lag3/Il27/Mill2/Pycard/Spn/Ascl2/Cd177/Siglecg/Calhm6/H60c/Ulbp1/Raet1e/H60b/Nepn/Tlr3/Ddx60/Bst2/Il27ra/Htr2a/Dnase1l3/Pnp/Lacc1/Tlr9/Cgas/Il20rb/Ccr2/Parp3/Cx3cr1/Crtam/Casp1/Casp4/Lgals9/Epx/Scimp/Tbx21/Grn/Il13/Irf1/Ccl2/Dhx58/Serpinb9/Rsad2/Lgals1/Muc4/H2-DMb2/H2-DMb1/Tap1/Tap2/H2-M3/Pglyrp2/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/Tnf/H2-T24/H2-T23/H2-T22/H2-Q7/Cd74/Cd274/Ms4a2/Anxa1,126
GO:0019221,cytokine-mediated signaling pathway,128/2403,473/18994,0.270613108,2.139003483,9.54686529,1.19E-17,5.06E-15,4.30E-15,Stat4/Ccl20/Stat1/Il17a/Il17f/Ikbke/Ackr3/Gpr35/Ackr1/Il1r2/Irs1/Il1r1/Cxcr2/Cxcr1/Il10/Ptprc/Ifih1/Samhd1/Cd40/C1qtnf4/Il15ra/Zbp1/Eda2r/Il2rg/Cxcr3/Tifa/Adar/Il12a/Csf1/Mpl/Isg15/Ccl19/Gfi1/Stap1/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Oas1h/Oas1g/Oas1a/Ccl24/Oas2/Oas3/Oas1e/Oas1b/Cxcl13/Oasl2/Oasl1/Il6/Irf5/Usp18/Ptpn6/Cd4/Il12rb2/Pycard/Pira11/Il11/Numbl/Ifitm1/Ifitm3/Ifitm6/Lilra5/Il21r/Irf7/Ifngr1/Stat2/Il15/Mt3/Ccl22/Cx3cl1/Ccl17/Crlf1/Il12rb1/Plvap/Il27ra/Nlrc5/Ptk2b/Il3ra/Rnf31/Il20rb/Ccrl2/Xcr1/Ccr3/Ccr2/Ccr5/Ccr9/Cxcr6/Mmp12/Cx3cr1/Casp1/Casp4/Csf3/Ccl8/Igtp/Irgm2/Osm/Ccl5/Ccl6/Ccl3/Ccl4/Sphk1/Card14/Il13/Irf1/Ccl2/Ccl7/Ccl11/Irgm1/Edn1/Il31ra/Il2rb/Il1rap/Socs1/Parp14/Parp9/Ccr6/Tnf/Tslp/Ticam2/Sting1/Egr1/Cd74/Iigp1/Slc1a1,128
GO:0002218,activation of innate immune response,96/2403,316/18994,0.303797468,2.40130217,9.559772079,4.80E-17,1.90E-14,1.61E-14,Ikbke/Rab7b/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Ifih1/Fcnb/Znfx1/Nmi/Fcna/Nr1h3/Zbp1/Tasl/Tlr7/Tlr2/Alpk1/Tifa/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Casp6/S100a8/S100a9/S100a14/Smpdl3b/Ppt1/Tlr12/Rigi/Gfi1/Oas1h/Oas1g/Oas1a/Oas3/Oas1e/Oas1b/Oasl1/Kcnj8/Nod1/Klrk1/Klrc3/Klri1/Klri2/Tnip3/Pycard/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Trim5/Irf7/Nepn/Tlr3/Irf2/Ddx60/Tlr11/Acod1/Lacc1/Tlr9/Cgas/Casp1/Casp4/Ifi35/Rnf135/Igtp/Irgm2/Scimp/Nlrp1a/Nlrp1b/Cd300ld3/Irf1/Aurkb/Irgm1/Dhx58/Tifab/Rsad2/Mefv/Nlrc4/Eif2ak2/Tnf/Rnf125/Ticam2/Sting1/Cd14/Cd274/Pik3ap1/Unc93b1,96
GO:0001910,regulation of leukocyte mediated cytotoxicity,51/2403,117/18994,0.435897436,3.445458135,10.09773718,9.06E-17,3.36E-14,2.85E-14,Slamf6/Ptprc/B2m/Rasgrp1/Sh2d1a/Il21/Cd1d1/Cd160/Il12a/P2rx7/Stap1/Cxcl1/Gimap3/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Klrb1a/Klrb1c/Klrb1b/Lag3/Mill2/H60c/Ulbp1/Raet1e/H60b/Dnase1l3/Pnp/Cx3cr1/Crtam/Lgals9/Ccl2/Serpinb9/Muc4/Tap1/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7,51
GO:0001909,leukocyte mediated cytotoxicity,62/2403,162/18994,0.382716049,3.025097229,9.851277477,1.03E-16,3.41E-14,2.90E-14,Fcgr4/Slamf6/Ptprc/B2m/Rasgrp1/Sh2d1a/Il21/Cd1d1/Cd160/Cd2/Il12a/Fcgr1/Rnf19b/P2rx7/Stap1/Cxcl1/Gimap3/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Klrb1a/Klrb1c/Klrb1b/Ptpn6/Lag3/Ctsc/Mill2/Nkg7/H60c/Ulbp1/Raet1e/H60b/Prf1/Gzmc/Gzmb/Dnase1l3/Pnp/Cx3cr1/Crtam/Lgals9/Ccl2/Serpinb9/Muc4/Trem1/Tap1/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7,62
GO:0050900,leukocyte migration,109/2403,385/18994,0.283116883,2.237836903,9.338339538,1.04E-16,3.41E-14,2.90E-14,Ccl20/Il17a/Tnfsf4/Gpr35/Slamf1/Slamf9/Slamf8/Sele/Sell/Selp/Il1r1/Cxcr2/Cxcr1/Itga6/Itga4/Mmp9/Thbs1/Gata3/Edn3/Cxcr3/Vcam1/Tlr2/Ptger3/Mcoln2/Il12a/Csf1/S100a8/S100a9/S100a14/Ptafr/Pde4b/Ccl19/Tnfrsf14/Stap1/Bst1/Ppbp/Pf4/Cxcl3/Cxcl1/Cxcl2/Cxcl9/Cxcl10/Ccl24/Cxcl13/Serpine1/Cd69/Klrk1/Ptpro/Podxl/Alox5/Ptn/Rarres2/C3ar1/Pycard/Kcnn4/Spn/Ascl2/Itgal/Cd177/Trpm2/Smpd3/Mmp2/Ccl22/Cx3cl1/Gdf15/Plvap/Il27ra/Calr/Ednrb/Ptk2b/Gpr18/Thy1/Ccr3/Ccr2/Pdgfd/Cx3cr1/Crtam/Lgals9/Ccl8/Epx/Gp1ba/Tbx21/Ccl5/Ccl6/Ccl3/Ccl4/Itga2b/Ccl2/Ccl7/Ccl11/Mmp28/Edn1/Pde4d/Itga1/Cxcl14/Ccl28/Pgf/Itgb7/Gcsam/Retnlg/Apod/Trem1/Fpr2/Pla2g7/Ccr6/Aif1/Tnf/Cd74/Anxa1,109
GO:0002757,immune response-activating signaling pathway,127/2403,483/18994,0.262939959,2.078352715,9.136015944,1.90E-16,5.94E-14,5.05E-14,Rab7b/Rab29/Cd28/Cd247/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Lax1/Zap70/Ptprc/Ifih1/Fcnb/Sla2/Nfatc2/Nmi/Gata3/Fcna/Nr1h3/Sh2d1a/Bmx/Tasl/Tlr7/Tlr2/Alpk1/Tifa/Cd160/Gbp5/Gbp2/S100a8/S100a9/S100a14/Lck/Smpdl3b/Themis2/Ermap/Ppt1/Pde4b/Tlr12/Rigi/Fyb2/Gfi1/Stap1/Oas1h/Oas1g/Oas1a/Fosl2/Card11/Oas3/Oas1e/Oas1b/Oasl1/Pvrig/Kcnj8/Nod1/Klrk1/Klrc3/Klri1/Klri2/Tnip3/Ptpn6/C3ar1/Lat/Cd19/Pycard/Kcnn4/Trim30a/Cd79a/Irf7/Themis/Nepn/Tlr3/Irf2/Ddx60/Blk/Tlr11/Acod1/Rnf31/Lacc1/Tlr9/Cgas/Thy1/Cd3e/Plscr2/Casp1/Casp4/Ifi35/Rnf135/Igtp/Irgm2/Scimp/Nlrp1a/Nlrp1b/Skap1/Cd300lb/Cd300ld3/Irf1/Aurkb/Irgm1/Dhx58/Lcp2/Btn2a2/Pde4d/Tifab/Rsad2/Gpr33/Fyb1/Gcsam/Trat1/Mefv/Fpr2/Ubash3a/Eif2ak2/Tnf/Btnl4/Btnl6/Rnf125/Ticam2/Sting1/Cd14/Cd274/Pik3ap1/Unc93b1/Ms4a1,127
GO:0031341,regulation of cell killing,55/2403,136/18994,0.404411765,3.196586375,9.783794266,3.24E-16,9.59E-14,8.15E-14,Slamf6/Ptprc/B2m/Rasgrp1/Sh2d1a/Il21/Cd1d1/Cd160/Il12a/P2rx7/Stap1/Cxcl1/Gimap3/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Klrb1a/Klrb1c/Klrb1b/Lag3/Mill2/H60c/Ulbp1/Raet1e/H60b/Prf1/Dnase1l3/Pnp/Ccr5/Cx3cr1/Crtam/Nos2/Lgals9/Il13/Ccl2/Serpinb9/Muc4/Tap1/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7,55
GO:0050777,negative regulation of immune response,71/2403,206/18994,0.344660194,2.724292854,9.469820578,4.33E-16,1.22E-13,1.04E-13,Col3a1/Dusp10/Tnfsf4/Pdcd1/Slamf1/Slamf8/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Il10/Ptprc/Samhd1/Nmi/Serping1/Cd160/Adar/Pglyrp3/Smpdl3b/Sfn/Isg15/Tnfrsf14/Fgl2/Pf4/Oas1h/Oas1g/Oas1a/Trafd1/Oas3/Oas1e/Oas1b/Clec2d/Cd69/Usp18/A2m/Klrb1b/Ptpn6/Spn/Ascl2/Trim21/Stat2/Il27ra/Nlrc5/Olfm4/Acod1/Il20rb/Ccr2/Mmp12/Parp3/Drd2/Lgals9/Tbx21/Grn/Irf1/Aurkb/Dhx58/Serpinb9/Gpx2/Lgals1/Muc4/Parp14/Tap1/Tap2/H2-M3/Pglyrp2/H2-T23/Cd274/Anxa1,71
GO:0034341,response to type II interferon,55/2403,138/18994,0.398550725,3.150259036,9.648125138,6.93E-16,1.81E-13,1.54E-13,Stat1/Rab7b/Fasl/Sp100/Vim/Kynu/Tlr2/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Stxbp3/Gbp8/Gbp9/Gbp4/Gbp10/Gbp6/Gbp11/Snca/Ifitm1/Ifitm3/Ifitm6/Trim21/Cyp27b1/Ifngr1/Tlr3/Il12rb1/Bst2/Irf8/Nlrc5/Flnb/Acod1/Epsti1/Casp1/Nos2/Igtp/Irgm2/Ccl5/Irf1/Ccl2/Irgm1/Tgtp1/Edn1/Evl/Mefv/Ciita/Parp14/Parp9/Ubd/Daxx/Aif1/Tnf/H2-Q7/Cd74,55
